epoch,accuracy,loss,val_accuracy,val_loss
0,0.42307472229003906,2.0957987308502197,0.6498850584030151,1.3145872354507446
1,0.7287787199020386,0.8846036791801453,0.7267241477966309,1.009759783744812
2,0.8076149225234985,0.6282246112823486,0.750804603099823,0.8754404187202454
3,0.8440373539924622,0.5085580945014954,0.7705172300338745,0.8040122985839844
4,0.8650287389755249,0.4434911906719208,0.7689655423164368,0.7861765623092651
5,0.8790948390960693,0.39759162068367004,0.784080445766449,0.7419347167015076
6,0.8859483003616333,0.368500292301178,0.7921839356422424,0.709438145160675
7,0.8939223885536194,0.3431839346885681,0.7933333516120911,0.695326030254364
8,0.8980172276496887,0.3329891860485077,0.7969540357589722,0.6817950010299683
9,0.8998132348060608,0.32156622409820557,0.7945402264595032,0.6868057250976562
