epoch,accuracy,loss,val_accuracy,val_loss
0,0.5252586007118225,1.98314368724823,0.7462068796157837,1.5324689149856567
1,0.8174712657928467,0.9352058172225952,0.8040804862976074,1.066083550453186
2,0.8752442598342896,0.6347077488899231,0.8363218307495117,0.8438878059387207
3,0.8994252681732178,0.49277979135513306,0.8481609225273132,0.721886157989502
4,0.9148706793785095,0.4070929288864136,0.858563244342804,0.6362216472625732
5,0.9232040047645569,0.35663729906082153,0.8650574684143066,0.5842511057853699
6,0.9295976758003235,0.31793203949928284,0.8695402145385742,0.5444074869155884
7,0.9346408247947693,0.2908688485622406,0.8754597902297974,0.5065249800682068
8,0.9355603456497192,0.23350588977336884,0.9245976805686951,0.22225548326969147
9,0.9790086150169373,0.07757064700126648,0.9389654994010925,0.17174065113067627
10,0.9882327318191528,0.04463238641619682,0.9418965578079224,0.16430135071277618
11,0.9923132061958313,0.02877211384475231,0.9467816352844238,0.15264789760112762
12,0.994870662689209,0.020542094483971596,0.9498850703239441,0.14437183737754822
13,0.9961494207382202,0.015115558169782162,0.950804591178894,0.15114575624465942
