epoch,accuracy,loss,val_accuracy,val_loss
0,0.608362078666687,1.6824092864990234,0.7820689678192139,1.2633131742477417
1,0.8600718379020691,0.7074524760246277,0.8327011466026306,0.855683445930481
2,0.901508629322052,0.4787030816078186,0.8550000190734863,0.6795154809951782
3,0.9183908104896545,0.3753279745578766,0.8615517020225525,0.5918511152267456
4,0.9283046126365662,0.3216862976551056,0.8710919618606567,0.5328856706619263
5,0.9371839165687561,0.2795553207397461,0.8740229606628418,0.49373361468315125
6,0.9402442574501038,0.253309965133667,0.8778160810470581,0.46042996644973755
7,0.9444827437400818,0.23419518768787384,0.8810919523239136,0.4411401152610779
8,0.9452873468399048,0.22005267441272736,0.8851149678230286,0.4226275086402893
9,0.9480316042900085,0.20710869133472443,0.8868390917778015,0.4078562259674072
